Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
dell,$245.00 ,other,"Wi-Fi, Foreign Keyboard",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",pre-owned condition | 100% factory reset | tested by in-house certified technician | professionally maintained | well packaged (brown box) | actual photos | oem ac adapter | genuine windows license. minor scratches on bottom cover. no os (requires windows 11 arm).,other,qualcomm snapdragon 8cx gen 2,,unknown,notebook/laptop,1920,1080,unknown,ssd,,unknown,,unknown,,8,gb
lenovo,$39.94 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",excellent like new condition,other,mediatek,,unknown,other,,,chrome,emmc,16,gb,16,gb,11.6,16,gb
hp,$58.00 ,black,"Webcam,  Bluetooth,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","fully tested, fully functional. this device is in good cosmetic condition may have minor scratches or scuffs on the body and screen. it has been tested and restored to 100% functionality. comes in a white box with a charger",other,amd a4,1.6,GHz,notebook/laptop,1366,768,chrome,emmc,16,gb,16,gb,11.6,4,gb
lenovo,$780.00 ,gray,"Bluetooth, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",Undefined,Undefined,undefined,amd,amd ryzen 7 7000 series,2.7,GHz,notebook/laptop,1900,1200,windows,ssd,16,gb,1,tb,16,16,gb
lenovo,$400.00 ,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 10th generation,1.6,GHz,notebook/laptop,1920,1080,windows,ssd,1,tb,1,tb,15.6,32,gb
hp,$35.00 ,black,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",tested and found working. please read full description and check all photos carefully for better understanding of the device.,other,intel atom dual-core,1.6,GHz,other,1024,600,unknown,hdd/ssd,300,gb,,tb,10.1,2,gb
dell,$300.00 ,black,"Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, 802.11ac Wi-Fi, Bluetooth 4.2",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",excellent condition with minor signs of use.,intel,intel core i5 8th generation,3.6,GHz,notebook/laptop,1366,768,windows,ssd,300,gb,1,tb,14,32,gb
hp,$139.00 ,silver,"Built-in Microphone, Wi-Fi, Built-in Webcam, Bluetooth",Undefined,Undefined,undefined,intel,intel celeron,1.1,GHz,notebook/laptop,1920,1200,chrome,ssd,128,gb,128,gb,14,4,gb
dell,$400.00 ,other,,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,intel core i7-8665u quad-core 1.9ghz,,unknown,other,,,unknown,unknown,,unknown,,unknown,14,,unknown
hp,$239.50 ,other,,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,intel core i5 7th generation,1.2,GHz,notebook/laptop,,,windows,ssd,,unknown,256,gb,12.5,8,gb
other,$169.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 8th generation,,unknown,notebook/laptop,1366,768,windows,ssd,,unknown,256,gb,13.3,8,gb
